Jugador,Equipo,Arquetipo Ofensivo,Arquetipo Defensivo,POISE Ofensivo,POISE Defensivo,POISE Total,Valor Scoring,Valor Spacing,Valor Passing,Valor Rim Protection,Valor Rebounding
Ferrell Scafe,ATL,Roller,Perimetral,3.4,7.6,-1.3,4.5,8.0,0.6,10.0,2.2
Bank Hitchens,BOS,Creador,Bloqueos,4.2,4.9,24.4,7.1,1.5,1.3,6.1,0.4
Ernesta Blore,TOR,Tirador estatico,Baja actividad,-2.8,6.5,24.9,0.1,7.9,3.3,9.2,2.5
Yolanda Holson,ATL,Tirador,Bloqueos,-1.9,4.8,22.2,4.4,9.7,0.1,1.7,3.2
Marieann Beynkn,DET,Tirador estatico,Bloqueos,-4.6,7.5,16.6,3.0,6.4,9.9,8.8,3.5
Fiona Mangeon,DEN,Roller,Reboteador,13.7,11.0,12.4,0.1,8.9,1.5,6.8,3.2
Skipper Stonehouse,TOR,Tirador estatico,Baja actividad,0.9,-1.2,13.7,0.7,7.0,9.3,9.7,3.4
Nanon Blunsen,DET,Roller,Protector del aro,-2.2,1.1,25.2,10.0,6.1,7.5,9.5,2.5
Wileen Minker,OKC,General,Bloqueos,6.4,9.1,12.9,7.5,6.9,4.4,3.2,3.7
Allard Aldins,MIL,Creador,Reboteador,-3.9,-2.0,11.2,9.1,4.6,8.0,0.6,1.7
Tore Matthius,DAL,General,Protector del aro,7.6,-2.5,20.5,9.2,3.4,2.9,7.8,1.3
Henka Janks,NYK,Tirador estatico,Reboteador,-4.6,4.8,0.7,3.4,9.9,3.9,2.9,2.2
Uta Ingarfill,DET,General,Protector del aro,-0.5,2.2,-3.9,9.1,7.6,4.6,0.2,1.9
Bab Renyard,TOR,Tirador estatico,Perimetral,-1.9,-2.4,4.1,0.4,5.1,4.5,5.2,2.5
Natal Harryman,CLE,General,Baja actividad,12.4,9.6,7.4,5.1,7.2,2.1,3.0,2.7
Madlin Cullabine,CLE,General,Protector del aro,4.6,6.1,-0.8,7.0,7.4,5.0,4.6,0.5
Oralee Joscelyn,MIN,Roller,Bloqueos,5.0,2.1,10.6,9.1,5.5,7.5,7.4,1.6
Serge Freda,CHO,Tirador estatico,Reboteador,13.3,7.1,15.5,1.5,3.8,1.9,3.1,0.6
Deeann Jedrysik,CHO,General,Bloqueos,13.3,-2.0,3.8,7.1,9.6,8.4,8.7,3.8
Walt Brocket,WAS,Creador,Reboteador,10.1,2.8,17.4,8.1,4.9,7.3,4.4,1.1
Dorian Mayling,TOR,Roller,Perimetral,6.3,-2.7,-6.1,0.1,3.5,7.9,6.6,0.9
Fremont Deerr,PHI,Creador,Perimetral,-4.6,-1.1,10.3,6.4,7.3,6.2,0.9,1.7
Bryon Hars,TOR,Creador,Reboteador,5.6,9.7,11.0,9.7,9.4,3.5,8.6,0.6
Leonore Bearham,MIL,Tirador estatico,Perimetral,10.9,6.0,-2.7,3.2,5.9,0.3,4.0,1.2
Rolf Filpo,WAS,General,Bloqueos,-4.6,-1.6,8.4,3.1,2.6,2.7,3.5,2.0
Brita Cruz,PHO,Tirador,Reboteador,13.2,4.5,8.5,4.4,2.1,4.3,3.3,0.2
Duffy Mahoney,CLE,Creador,Reboteador,-3.4,8.5,14.9,1.5,0.8,0.5,1.2,0.6
Bram Manders,CHI,Creador,Baja actividad,11.1,10.4,2.7,6.0,3.8,6.1,9.9,3.4
Isa Ludlow,TOR,Tirador,Protector del aro,-4.9,11.1,8.2,5.2,9.0,7.9,0.7,1.8
Spike Braganza,CHO,Tirador,Bloqueos,4.6,-2.1,-0.9,8.2,7.5,0.6,8.6,1.5
Velma Dobrowski,OKC,Tirador,Bloqueos,-1.2,4.5,-6.2,4.4,7.9,7.0,7.5,3.5
Lissy Fleg,DET,General,Protector del aro,-4.1,5.5,-2.4,2.7,5.5,2.6,9.5,0.7
Karisa Wands,BOS,Roller,Bloqueos,6.5,-1.1,21.2,2.8,2.5,9.7,3.3,2.8
Forester Becconsall,MIA,Tirador estatico,Baja actividad,3.0,0.6,8.7,1.1,5.1,0.4,5.0,2.4
Hillie Heyburn,BRK,Tirador,Reboteador,13.1,3.8,0.4,6.8,9.3,5.9,2.4,0.4
Olimpia Pressnell,CHI,General,Bloqueos,3.6,6.9,23.4,6.1,1.0,7.6,0.2,3.8
Shanan Postans,CLE,General,Protector del aro,1.5,-2.4,5.3,2.8,7.3,7.1,5.2,0.2
Berrie Wasling,CLE,Tirador,Baja actividad,6.1,-0.5,5.5,1.1,9.7,5.3,9.8,2.9
Deni Lamdin,DAL,Tirador,Perimetral,11.6,1.4,24.2,2.7,8.6,1.1,5.0,1.5
Robin Keating,ATL,Roller,Baja actividad,-0.0,1.1,24.8,1.7,2.1,0.6,1.3,0.0
Gaye Indge,ATL,Roller,Bloqueos,5.5,8.6,-5.0,0.7,7.4,3.2,0.8,0.5
Kathlin Butteris,DAL,Tirador estatico,Reboteador,5.4,6.5,-3.4,1.4,0.9,5.5,2.9,1.0
Hy Hyett,DAL,Tirador estatico,Bloqueos,-3.9,3.3,19.6,1.4,6.2,4.7,4.8,1.2
Nevsa Rodrigues,MIN,Roller,Baja actividad,14.2,10.2,23.9,8.6,8.8,1.7,0.6,1.4
Nikoletta Craigheid,DEN,Tirador,Baja actividad,11.7,-0.9,11.8,0.4,9.2,6.2,6.4,2.2
Kasper MacSharry,CHO,Creador,Protector del aro,14.9,9.1,4.9,7.8,7.4,0.5,2.5,3.2
Parsifal Bidewel,DET,Tirador,Bloqueos,-1.6,2.4,0.2,9.2,0.4,8.7,1.5,1.0
Garek Kestian,MIN,Creador,Reboteador,4.3,9.9,10.8,3.3,2.8,7.3,1.2,2.3
Hetty Loiterton,DET,Creador,Bloqueos,-0.9,6.7,11.5,0.9,8.1,0.4,0.3,1.9
Rayna Carty,CHO,Tirador estatico,Bloqueos,-4.4,4.3,19.6,2.5,1.0,0.3,5.1,0.0
Stinky Fairpool,PHI,General,Protector del aro,12.3,3.3,26.9,0.3,9.5,3.1,0.8,3.8
Louis Sapsforde,CHO,Tirador,Reboteador,3.3,-2.1,24.0,5.9,6.9,6.5,8.8,0.3
Steffane Perin,CHO,Creador,Baja actividad,0.5,6.6,-2.5,2.9,9.6,7.8,8.7,0.7
